teamA,teamB,city,home_ground_of,rankTeamA,pointsTeamA,RatingTeamA,rankTeamB,pointsTeamB,RatingTeamB,winner
Australia,New Zealand,Centurion,none,1,4889,129,3,4284,116,Australia
India,Australia,Vadodara,India,2,5278,117,1,4889,129,Australia
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Zimbabwe
India,Australia,Nagpur,India,2,5278,117,1,4889,129,India
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
India,Australia,Delhi,India,2,5278,117,1,4889,129,India
India,Australia,Chandigarh,India,2,5278,117,1,4889,129,Australia
Bangladesh,Zimbabwe,Chittagong,Bangladesh,7,3094,96,11,1250,45,Bangladesh
New Zealand,Pakistan,Abu Dhabi,none,3,4284,116,9,3721,87,Pakistan
Bangladesh,Zimbabwe,Chittagong,Bangladesh,7,3094,96,11,1250,45,Bangladesh
India,Australia,Hyderabad,India,2,5278,117,1,4889,129,Australia
New Zealand,Pakistan,Abu Dhabi,none,3,4284,116,9,3721,87,New Zealand
India,Australia,Guwahati,India,2,5278,117,1,4889,129,Australia
South Africa,Zimbabwe,Benoni,South Africa,4,5131,112,11,1250,45,South Africa
New Zealand,Pakistan,Abu Dhabi,none,3,4284,116,9,3721,87,New Zealand
South Africa,Zimbabwe,Centurion,South Africa,4,5131,112,11,1250,45,South Africa
South Africa,England,Centurion,South Africa,4,5131,112,6,3968,98,England
South Africa,England,Cape Town,South Africa,4,5131,112,6,3968,98,South Africa
South Africa,England,Port Elizabeth,South Africa,4,5131,112,6,3968,98,England
India,Sri Lanka,Rajkot,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Nagpur,India,2,5278,117,5,5811,106,Sri Lanka
India,Sri Lanka,Cuttack,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Kolkata,India,2,5278,117,5,5811,106,India
India,Sri Lanka,Delhi,India,2,5278,117,5,5811,106,no result
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
India,Sri Lanka,Mirpur,none,2,5278,117,5,5811,106,Sri Lanka
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Bangladesh,Sri Lanka,Mirpur,Bangladesh,7,3094,96,5,5811,106,Sri Lanka
India,Sri Lanka,Mirpur,none,2,5278,117,5,5811,106,India
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
India,Sri Lanka,Mirpur,none,2,5278,117,5,5811,106,Sri Lanka
Australia,Pakistan,Brisbane,Australia,1,4889,129,9,3721,87,Australia
Australia,Pakistan,NA,Australia,1,4889,129,9,3721,87,Australia
Australia,Pakistan,NA,Australia,1,4889,129,9,3721,87,Australia
Australia,Pakistan,Perth,Australia,1,4889,129,9,3721,87,Australia
Australia,Pakistan,Perth,Australia,1,4889,129,9,3721,87,Australia
New Zealand,Bangladesh,Napier,New Zealand,3,4284,116,7,3094,96,New Zealand
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,Australia
New Zealand,Bangladesh,Dunedin,New Zealand,3,4284,116,7,3094,96,New Zealand
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,Australia
New Zealand,Bangladesh,Christchurch,New Zealand,3,4284,116,7,3094,96,New Zealand
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,no result
Australia,West Indies,Brisbane,Australia,1,4889,129,8,2471,88,Australia
Australia,West Indies,NA,Australia,1,4889,129,8,2471,88,Australia
India,South Africa,Jaipur,India,2,5278,117,4,5131,112,India
India,South Africa,Gwalior,India,2,5278,117,4,5131,112,India
India,South Africa,Ahmedabad,India,2,5278,117,4,5131,112,South Africa
Bangladesh,England,Mirpur,Bangladesh,7,3094,96,6,3968,98,England
Bangladesh,England,Mirpur,Bangladesh,7,3094,96,6,3968,98,England
New Zealand,Australia,Napier,New Zealand,3,4284,116,1,4889,129,New Zealand
West Indies,Zimbabwe,Guyana,West Indies,8,2471,88,11,1250,45,Zimbabwe
Bangladesh,England,Chittagong,Bangladesh,7,3094,96,6,3968,98,England
New Zealand,Australia,Auckland,New Zealand,3,4284,116,1,4889,129,Australia
West Indies,Zimbabwe,Guyana,West Indies,8,2471,88,11,1250,45,West Indies
New Zealand,Australia,Hamilton,none,3,4284,116,1,4889,129,Australia
West Indies,Zimbabwe,St Vincent,West Indies,8,2471,88,11,1250,45,West Indies
New Zealand,Australia,Auckland,New Zealand,3,4284,116,1,4889,129,Australia
West Indies,Zimbabwe,St Vincent,West Indies,8,2471,88,11,1250,45,West Indies
New Zealand,Australia,Wellington,New Zealand,3,4284,116,1,4889,129,New Zealand
West Indies,Zimbabwe,St Vincent,West Indies,8,2471,88,11,1250,45,West Indies
West Indies,South Africa,Antigua,West Indies,8,2471,88,4,5131,112,South Africa
West Indies,South Africa,Antigua,West Indies,8,2471,88,4,5131,112,South Africa
West Indies,South Africa,Dominica,West Indies,8,2471,88,4,5131,112,South Africa
Zimbabwe,India,Bulawayo,Zimbabwe,11,1250,45,2,5278,117,Zimbabwe
India,Sri Lanka,Bulawayo,none,2,5278,117,5,5811,106,India
West Indies,South Africa,Dominica,West Indies,8,2471,88,4,5131,112,South Africa
Zimbabwe,Sri Lanka,Bulawayo,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
West Indies,South Africa,Trinidad,West Indies,8,2471,88,4,5131,112,South Africa
Zimbabwe,India,NA,Zimbabwe,11,1250,45,2,5278,117,Zimbabwe
India,Sri Lanka,NA,none,2,5278,117,5,5811,106,Sri Lanka
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Zimbabwe
Zimbabwe,Sri Lanka,NA,Zimbabwe,11,1250,45,5,5811,106,Sri Lanka
Sri Lanka,Pakistan,NA,Sri Lanka,5,5811,106,9,3721,87,Sri Lanka
Bangladesh,India,NA,none,7,3094,96,2,5278,117,India
Ireland,Australia,Dublin,Ireland,10,549,50,1,4889,129,Australia
Sri Lanka,Bangladesh,NA,Sri Lanka,5,5811,106,7,3094,96,Sri Lanka
India,Pakistan,NA,none,2,5278,117,9,3721,87,India
Bangladesh,Pakistan,NA,none,7,3094,96,9,3721,87,Pakistan
England,Australia,Southampton,England,6,3968,98,1,4889,129,England
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
England,Australia,Cardiff,England,6,3968,98,1,4889,129,England
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,India
England,Australia,Manchester,England,6,3968,98,1,4889,129,England
England,Australia,London,England,6,3968,98,1,4889,129,Australia
England,Australia,London,England,6,3968,98,1,4889,129,Australia
England,Bangladesh,Nottingham,England,6,3968,98,7,3094,96,England
England,Bangladesh,Bristol,England,6,3968,98,7,3094,96,Bangladesh
England,Bangladesh,Birmingham,England,6,3968,98,7,3094,96,England
Ireland,Bangladesh,Belfast,Ireland,10,549,50,7,3094,96,Bangladesh
India,New Zealand,NA,none,2,5278,117,3,4284,116,New Zealand
Sri Lanka,New Zealand,NA,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
Scotland,Afghanistan,Ayr,Scotland,14,200,25,12,618,41,Afghanistan
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,India
Scotland,Afghanistan,Ayr,Scotland,14,200,25,12,618,41,Scotland
Sri Lanka,New Zealand,NA,Sri Lanka,5,5811,106,3,4284,116,no result
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
India,New Zealand,NA,none,2,5278,117,3,4284,116,India
Sri Lanka,India,NA,Sri Lanka,5,5811,106,2,5278,117,Sri Lanka
England,Pakistan,Chester-le-Street,England,6,3968,98,9,3721,87,England
England,Pakistan,Leeds,England,6,3968,98,9,3721,87,England
England,Pakistan,London,England,6,3968,98,9,3721,87,Pakistan
England,Pakistan,London,England,6,3968,98,9,3721,87,Pakistan
England,Pakistan,Southampton,England,6,3968,98,9,3721,87,England
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
South Africa,Zimbabwe,Bloemfontein,South Africa,4,5131,112,11,1250,45,South Africa
Bangladesh,New Zealand,Mirpur,Bangladesh,7,3094,96,3,4284,116,Bangladesh
South Africa,Zimbabwe,Potchefstroom,South Africa,4,5131,112,11,1250,45,South Africa
India,Australia,Visakhapatnam,India,2,5278,117,1,4889,129,India
South Africa,Zimbabwe,Benoni,South Africa,4,5131,112,11,1250,45,South Africa
Pakistan,South Africa,Abu Dhabi,none,9,3721,87,4,5131,112,South Africa
Pakistan,South Africa,Abu Dhabi,none,9,3721,87,4,5131,112,Pakistan
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,South Africa
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,Pakistan
Australia,Sri Lanka,Brisbane,Australia,1,4889,129,5,5811,106,Australia
Pakistan,South Africa,NA,none,9,3721,87,4,5131,112,South Africa
India,New Zealand,Guwahati,India,2,5278,117,3,4284,116,India
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Zimbabwe
India,New Zealand,Jaipur,India,2,5278,117,3,4284,116,India
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
India,New Zealand,Vadodara,India,2,5278,117,3,4284,116,India
Bangladesh,Zimbabwe,Mirpur,Bangladesh,7,3094,96,11,1250,45,Bangladesh
India,New Zealand,Bangalore,India,2,5278,117,3,4284,116,India
India,New Zealand,Chennai,India,2,5278,117,3,4284,116,India
Bangladesh,Zimbabwe,Chittagong,Bangladesh,7,3094,96,11,1250,45,Bangladesh
South Africa,India,Durban,South Africa,4,5131,112,2,5278,117,South Africa
South Africa,India,Johannesburg,South Africa,4,5131,112,2,5278,117,India
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
South Africa,India,Cape Town,South Africa,4,5131,112,2,5278,117,India
Australia,England,Hobart,Australia,1,4889,129,6,3968,98,Australia
South Africa,India,Port Elizabeth,South Africa,4,5131,112,2,5278,117,South Africa
New Zealand,Pakistan,Wellington,New Zealand,3,4284,116,9,3721,87,New Zealand
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
South Africa,India,Centurion,South Africa,4,5131,112,2,5278,117,South Africa
Australia,England,NA,Australia,1,4889,129,6,3968,98,England
New Zealand,Pakistan,NA,New Zealand,3,4284,116,9,3721,87,no result
New Zealand,Pakistan,Christchurch,New Zealand,3,4284,116,9,3721,87,Pakistan
Australia,England,Brisbane,Australia,1,4889,129,6,3968,98,Australia
Sri Lanka,West Indies,Colombo,Sri Lanka,5,5811,106,8,2471,88,no result
New Zealand,Pakistan,Napier,New Zealand,3,4284,116,9,3721,87,Pakistan
Australia,England,NA,Australia,1,4889,129,6,3968,98,Australia
New Zealand,Pakistan,Hamilton,none,3,4284,116,9,3721,87,Pakistan
Sri Lanka,West Indies,Colombo,Sri Lanka,5,5811,106,8,2471,88,Sri Lanka
New Zealand,Pakistan,Auckland,New Zealand,3,4284,116,9,3721,87,New Zealand
Australia,England,Perth,Australia,1,4889,129,6,3968,98,Australia
Sri Lanka,West Indies,Colombo,Sri Lanka,5,5811,106,8,2471,88,Sri Lanka
Bangladesh,India,Mirpur,Bangladesh,7,3094,96,2,5278,117,India
Australia,Zimbabwe,Ahmedabad,none,1,4889,129,11,1250,45,Australia
South Africa,West Indies,Delhi,none,4,5131,112,8,2471,88,South Africa
Australia,New Zealand,Nagpur,none,1,4889,129,3,4284,116,Australia
Bangladesh,Ireland,Mirpur,Bangladesh,7,3094,96,10,549,50,Bangladesh
Sri Lanka,Pakistan,Colombo,Sri Lanka,5,5811,106,9,3721,87,Pakistan
India,England,Bangalore,India,2,5278,117,6,3968,98,no result
England,Ireland,Bangalore,none,6,3968,98,10,549,50,Ireland
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,West Indies
New Zealand,Zimbabwe,Ahmedabad,none,3,4284,116,11,1250,45,New Zealand
Sri Lanka,Australia,Colombo,Sri Lanka,5,5811,106,1,4889,129,no result
England,South Africa,Chennai,none,6,3968,98,4,5131,112,England
India,Ireland,Bangalore,India,2,5278,117,10,549,50,India
New Zealand,Pakistan,NA,none,3,4284,116,9,3721,87,New Zealand
Sri Lanka,Zimbabwe,NA,Sri Lanka,5,5811,106,11,1250,45,Sri Lanka
Bangladesh,England,Chittagong,Bangladesh,7,3094,96,6,3968,98,Bangladesh
Ireland,West Indies,Chandigarh,none,10,549,50,8,2471,88,West Indies
India,South Africa,Nagpur,India,2,5278,117,4,5131,112,South Africa
Pakistan,Zimbabwe,NA,none,9,3721,87,11,1250,45,Pakistan
Ireland,South Africa,Kolkata,none,10,549,50,4,5131,112,South Africa
England,West Indies,Chennai,none,6,3968,98,8,2471,88,England
New Zealand,Sri Lanka,Mumbai,none,3,4284,116,5,5811,106,Sri Lanka
Australia,Pakistan,Colombo,none,1,4889,129,9,3721,87,Pakistan
Bangladesh,South Africa,Mirpur,Bangladesh,7,3094,96,4,5131,112,South Africa
India,West Indies,Chennai,India,2,5278,117,8,2471,88,India
Pakistan,West Indies,Mirpur,none,9,3721,87,8,2471,88,Pakistan
India,Australia,Ahmedabad,India,2,5278,117,1,4889,129,India
New Zealand,South Africa,Mirpur,none,3,4284,116,4,5131,112,New Zealand
Sri Lanka,England,Colombo,Sri Lanka,5,5811,106,6,3968,98,Sri Lanka
Sri Lanka,New Zealand,Colombo,Sri Lanka,5,5811,106,3,4284,116,Sri Lanka
India,Pakistan,Chandigarh,India,2,5278,117,9,3721,87,India
India,Sri Lanka,Mumbai,India,2,5278,117,5,5811,106,India
Bangladesh,Australia,Mirpur,Bangladesh,7,3094,96,1,4889,129,Australia
Bangladesh,Australia,Mirpur,Bangladesh,7,3094,96,1,4889,129,Australia
Bangladesh,Australia,Mirpur,Bangladesh,7,3094,96,1,4889,129,Australia
West Indies,Pakistan,St Lucia,West Indies,8,2471,88,9,3721,87,Pakistan
West Indies,Pakistan,St Lucia,West Indies,8,2471,88,9,3721,87,Pakistan
West Indies,Pakistan,Barbados,West Indies,8,2471,88,9,3721,87,Pakistan
West Indies,Pakistan,Barbados,West Indies,8,2471,88,9,3721,87,West Indies
West Indies,Pakistan,Guyana,West Indies,8,2471,88,9,3721,87,West Indies
West Indies,India,Trinidad,West Indies,8,2471,88,2,5278,117,India
West Indies,India,Trinidad,West Indies,8,2471,88,2,5278,117,India
West Indies,India,Antigua,West Indies,8,2471,88,2,5278,117,India
West Indies,India,Antigua,West Indies,8,2471,88,2,5278,117,West Indies
West Indies,India,Jamaica,West Indies,8,2471,88,2,5278,117,West Indies
England,Sri Lanka,London,England,6,3968,98,5,5811,106,England
England,Sri Lanka,Leeds,England,6,3968,98,5,5811,106,Sri Lanka
England,Sri Lanka,London,England,6,3968,98,5,5811,106,Sri Lanka
England,Sri Lanka,Nottingham,England,6,3968,98,5,5811,106,England
England,Sri Lanka,Manchester,England,6,3968,98,5,5811,106,England
Sri Lanka,Australia,NA,Sri Lanka,5,5811,106,1,4889,129,Australia
Zimbabwe,Bangladesh,NA,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Sri Lanka,Australia,Hambantota,Sri Lanka,5,5811,106,1,4889,129,Australia
Zimbabwe,Bangladesh,NA,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Sri Lanka,Australia,Hambantota,Sri Lanka,5,5811,106,1,4889,129,Sri Lanka
Zimbabwe,Bangladesh,NA,Zimbabwe,11,1250,45,7,3094,96,Zimbabwe
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Sri Lanka,Australia,Colombo,Sri Lanka,5,5811,106,1,4889,129,Australia
Zimbabwe,Bangladesh,Bulawayo,Zimbabwe,11,1250,45,7,3094,96,Bangladesh
Sri Lanka,Australia,Colombo,Sri Lanka,5,5811,106,1,4889,129,Sri Lanka
Ireland,England,Dublin,Ireland,10,549,50,6,3968,98,England
England,India,Chester-le-Street,England,6,3968,98,2,5278,117,no result
England,India,Southampton,England,6,3968,98,2,5278,117,England
Zimbabwe,Pakistan,Bulawayo,Zimbabwe,11,1250,45,9,3721,87,Pakistan
England,India,London,England,6,3968,98,2,5278,117,England
England,India,London,England,6,3968,98,2,5278,117,no result
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
Zimbabwe,Pakistan,NA,Zimbabwe,11,1250,45,9,3721,87,Pakistan
England,India,Cardiff,England,6,3968,98,2,5278,117,England
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,West Indies
India,England,Hyderabad,India,2,5278,117,6,3968,98,India
Bangladesh,West Indies,Mirpur,Bangladesh,7,3094,96,8,2471,88,West Indies
India,England,Delhi,India,2,5278,117,6,3968,98,India
Bangladesh,West Indies,Chittagong,Bangladesh,7,3094,96,8,2471,88,Bangladesh
South Africa,Australia,Centurion,South Africa,4,5131,112,1,4889,129,Australia
India,England,Chandigarh,India,2,5278,117,6,3968,98,India
Zimbabwe,New Zealand,NA,Zimbabwe,11,1250,45,3,4284,116,New Zealand
Zimbabwe,New Zealand,NA,Zimbabwe,11,1250,45,3,4284,116,New Zealand
India,England,Mumbai,India,2,5278,117,6,3968,98,India
South Africa,Australia,Port Elizabeth,South Africa,4,5131,112,1,4889,129,South Africa
India,England,Kolkata,India,2,5278,117,6,3968,98,India
Zimbabwe,New Zealand,Bulawayo,Zimbabwe,11,1250,45,3,4284,116,Zimbabwe
South Africa,Australia,Durban,South Africa,4,5131,112,1,4889,129,Australia
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Sri Lanka
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,NA,none,9,3721,87,5,5811,106,Pakistan
Pakistan,Sri Lanka,Abu Dhabi,none,9,3721,87,5,5811,106,Pakistan
India,West Indies,Cuttack,India,2,5278,117,8,2471,88,India
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
India,West Indies,Visakhapatnam,India,2,5278,117,8,2471,88,India
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
India,West Indies,Ahmedabad,India,2,5278,117,8,2471,88,West Indies
Bangladesh,Pakistan,Chittagong,Bangladesh,7,3094,96,9,3721,87,Pakistan
India,West Indies,Indore,India,2,5278,117,8,2471,88,India
India,West Indies,Chennai,India,2,5278,117,8,2471,88,India
South Africa,Sri Lanka,Paarl,South Africa,4,5131,112,5,5811,106,South Africa
South Africa,Sri Lanka,East London,South Africa,4,5131,112,5,5811,106,South Africa
South Africa,Sri Lanka,Bloemfontein,South Africa,4,5131,112,5,5811,106,South Africa
South Africa,Sri Lanka,Kimberley,South Africa,4,5131,112,5,5811,106,Sri Lanka
South Africa,Sri Lanka,Johannesburg,South Africa,4,5131,112,5,5811,106,Sri Lanka
New Zealand,Zimbabwe,Dunedin,New Zealand,3,4284,116,11,1250,45,New Zealand
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
New Zealand,Zimbabwe,Whangarei,New Zealand,3,4284,116,11,1250,45,New Zealand
India,Sri Lanka,Perth,none,2,5278,117,5,5811,106,India
New Zealand,Zimbabwe,Napier,New Zealand,3,4284,116,11,1250,45,New Zealand
Afghanistan,Pakistan,NA,none,12,618,41,9,3721,87,Pakistan
Australia,Sri Lanka,Perth,Australia,1,4889,129,5,5811,106,Australia
Australia,India,NA,Australia,1,4889,129,2,5278,117,India
England,Pakistan,Abu Dhabi,none,6,3968,98,9,3721,87,England
India,Sri Lanka,NA,none,2,5278,117,5,5811,106,no result
England,Pakistan,Abu Dhabi,none,6,3968,98,9,3721,87,England
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
England,Pakistan,NA,none,6,3968,98,9,3721,87,England
Australia,India,Brisbane,Australia,1,4889,129,2,5278,117,Australia
England,Pakistan,NA,none,6,3968,98,9,3721,87,England
India,Sri Lanka,Brisbane,none,2,5278,117,5,5811,106,Sri Lanka
Australia,Sri Lanka,Hobart,Australia,1,4889,129,5,5811,106,Sri Lanka
New Zealand,South Africa,Wellington,New Zealand,3,4284,116,4,5131,112,South Africa
Australia,India,NA,Australia,1,4889,129,2,5278,117,Australia
India,Sri Lanka,Hobart,none,2,5278,117,5,5811,106,India
New Zealand,South Africa,Napier,New Zealand,3,4284,116,4,5131,112,South Africa
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
New Zealand,South Africa,Auckland,New Zealand,3,4284,116,4,5131,112,South Africa
Australia,Sri Lanka,Brisbane,Australia,1,4889,129,5,5811,106,Australia
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Sri Lanka
Australia,Sri Lanka,NA,Australia,1,4889,129,5,5811,106,Australia
Bangladesh,Pakistan,Mirpur,Bangladesh,7,3094,96,9,3721,87,Pakistan
